Revision	EventDate-Long	Total TD Mapped To Methods	TDdensity	Contribution of NEW	Contribution of DELETED	Contribution of MODIFIED	Has Refactorings
59dde9ac687aa547f54df1a3ea8abddb8c1ba835	1381999463000	520	0.6933333333			0.001843971631	No
abff7dc3198808463694088ae2bc5f4f2bea5e6d	1382055921000	555	0.729303548	0.03597021463			Yes, Refactoring Type: [MOVE_SOURCE_FOLDER], Involved Classes After: [[(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/conf/ZeppelinConfiguration.java,com.nflabs.zeppelin.conf.ZeppelinConfiguration), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/util/Util.java,com.nflabs.zeppelin.util.Util), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zql/L.java,com.nflabs.zeppelin.zql.L), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zql/Q.java,com.nflabs.zeppelin.zql.Q), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zql/Z.java,com.nflabs.zeppelin.zql.Z), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zql/ZException.java,com.nflabs.zeppelin.zql.ZException), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zql/ZQL.java,com.nflabs.zeppelin.zql.ZQL), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zql/ZQLException.java,com.nflabs.zeppelin.zql.ZQLException), (zeppelin-zengine/src/test/java/com/nflabs/zeppelin/util/UtilTest.java,com.nflabs.zeppelin.util.UtilTest), (zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zql/LTest.java,com.nflabs.zeppelin.zql.LTest), (zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zql/ZQLTest.java,com.nflabs.zeppelin.zql.ZQLTest), (zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zql/ZTest.java,com.nflabs.zeppelin.zql.ZTest)]]
b0862c7aaa62be216c2a0ea79e3462c24fc88b7e	1382056012000	555	0.729303548				Yes, Refactoring Type: [RENAME_PACKAGE, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS, MOVE_CLASS], Involved Classes After: [[(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Z.java,com.nflabs.zeppelin.zengine.Z), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/ZException.java,com.nflabs.zeppelin.zengine.ZException), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/ZQL.java,com.nflabs.zeppelin.zengine.ZQL), (zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/ZQLException.java,com.nflabs.zeppelin.zengine.ZQLException), (zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/LTest.java,com.nflabs.zeppelin.zengine.LTest), (zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/ZQLTest.java,com.nflabs.zeppelin.zengine.ZQLTest), (zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/ZTest.java,com.nflabs.zeppelin.zengine.ZTest)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/L.java,com.nflabs.zeppelin.zengine.L)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Q.java,com.nflabs.zeppelin.zengine.Q)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/Z.java,com.nflabs.zeppelin.zengine.Z)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/ZException.java,com.nflabs.zeppelin.zengine.ZException)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/ZQL.java,com.nflabs.zeppelin.zengine.ZQL)], [(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/ZQLException.java,com.nflabs.zeppelin.zengine.ZQLException)], [(zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/LTest.java,com.nflabs.zeppelin.zengine.LTest)], [(zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/ZQLTest.java,com.nflabs.zeppelin.zengine.ZQLTest)], [(zeppelin-zengine/src/test/java/com/nflabs/zeppelin/zengine/ZTest.java,com.nflabs.zeppelin.zengine.ZTest)]]
106c998511a818f491bb93b689e71f52d9957aba	1382065199000	657	0.6794208893	-0.07249256591		0.0226099073	No
d7088d7ce2d3a1dfabbff510c25a4cb91113f157	1382066054000	692	0.6892430279	0.007579110651		0.002243027888	No
92b6fa9f4c8319b489c7393c1a329841e7df025e	1382073393000	700	0.6979062812			0.008663253268	No
a5830373b7ddf41478bad1f0343915dba69840c7	1382152562000	705	0.6785370549	-0.01740435065	0.002794419544	-0.004759295186	Yes, Refactoring Type: [RENAME_CLASS, CHANGE_RETURN_TYPE], Involved Classes After: [[(zeppelin-web/src/main/java/com/nflabs/zeppelin/web/Zeppelin.java,com.nflabs.zeppelin.web.Zeppelin)], [(zeppelin-web/src/main/java/com/nflabs/zeppelin/web/WicketApplication.java,com.nflabs.zeppelin.web.WicketApplication)]]
fd79b9851ed561c1338faec430546b752f12b782	1382175570000	983	0.7561538462	0.07529730097			No
116d0d77f14924bee0742ec4e21e2291e4cb3aaf	1382175683000	993	0.7539863326		-0.003846153846	0.001678640266	Yes, Refactoring Type: [RENAME_METHOD], Involved Classes After: [[(zeppelin-zengine/src/main/java/com/nflabs/zeppelin/zengine/ZQL.java,com.nflabs.zeppelin.zengine.ZQL)]]
7b701d3e6b99e130c79cfe5533e2939f9c077661	1382175728000	1013	0.7319364162	-0.03132159688		0.009271680486	No
8136b854528551914aded14cc9aeb23a464058e5	1382191304000	1018	0.7163969036	-0.01604330789		0.0005037952909	No
fac8161378ef1fb7d40a5ec168ee4fbe2d9a63d9	1382228385000	1018	0.7163969036			0	No
32f3bbb6101f1f09c120c03e889e5b57e19cf89f	1382238524000	1018	0.7163969036			0	No
